,idx
0,40617
1,40618
2,40619
3,40620
4,40625
5,46587
6,46588
7,46589
8,46590
9,46591
10,46592
11,46593
12,46594
13,46596
14,46597
15,46598
16,46599
17,46600
18,46601
19,46602
20,46603
21,46604
22,46605
23,46606
24,47297
25,47533
26,47540
27,47557
28,47558
29,47568
30,47569
31,47581
32,47588
33,47594
34,47595
35,47604
36,47607
37,47614
38,47616
39,47617
40,47628
41,47629
42,47635
43,47647
44,47651
45,47657
46,47665
47,47667
48,47675
49,47678
50,47680
51,47682
52,47686
53,47690
54,47694
55,47696
56,50887
57,55969
58,55970
59,55974
60,55975
61,55976
62,55978
63,55979
64,56028
65,56029
66,56033
67,56034
68,56035
69,56037
70,56038
71,56123
72,56131
73,56136
74,56143
75,56144
76,56149
77,56150
78,56151
79,56236
80,56278
81,56288
82,56313
83,56342
84,56355
85,56357
86,56397
87,56450
88,56452
89,56479
90,56504
91,56511
92,56513
93,56516
94,56519
95,56520
96,56593
97,56594
98,56614
99,56671
100,56964
101,56965
102,56967
103,56968
104,56969
105,56971
106,56973
107,56974
108,56976
109,56977
110,56978
111,56981
112,56982
113,56983
114,56984
115,56989
116,56992
117,56993
118,56995
119,56998
120,57000
121,62143
122,62147
123,62149
124,62153
125,62154
126,62157
127,62159
128,62160
129,62162
130,62166
131,62169
132,62170
133,62172
134,62173
135,62175
136,62178
137,62182
138,62183
139,62184
140,62185
141,62187
142,62188
143,62193
144,62195
145,62197
146,62199
147,62200
148,62201
149,62207
150,62208
151,62209
152,62211
153,62213
154,62214
155,62215
156,62217
157,62219
158,62220
159,62221
160,62222
161,62223
162,62226
163,62228
164,62229
165,62230
166,62232
167,62234
168,62235
169,62236
170,62237
171,62240
172,62241
173,62246
174,62248
175,62250
176,62252
177,62255
178,62256
179,62257
180,62259
181,62265
182,62266
183,62267
184,62268
185,62269
186,62270
187,62271
188,62272
189,62273
190,62274
191,62275
192,62276
193,62277
194,62278
195,62279
196,62280
197,62281
198,62282
199,62283
200,62284
201,62285
202,62286
203,62287
204,62288
205,62289
206,62290
207,62291
208,62292
209,62293
210,62294
211,62295
212,62296
213,62297
214,62298
215,62299
216,62300
217,62301
218,62302
219,62303
220,62304
221,62305
222,62306
223,62307
224,62308
225,62309
226,62310
227,62311
228,62312
229,62313
230,62314
231,62315
232,62316
233,62317
234,62318
235,62319
236,62320
237,62321
238,62322
239,62323
240,62324
241,62325
242,62326
243,63262
244,63267
245,63276
246,63277
247,63279
248,63283
249,63284
250,63290
251,63293
252,63294
253,63300
254,63301
255,63304
256,63307
257,63313
258,63314
259,63321
260,63330
261,63336
262,63337
263,63812
264,63813
265,63819
266,63823
267,63824
268,63833
269,63839
270,65061
271,65062
272,65063
273,65064
274,65065
275,65066
276,65067
277,65068
278,65069
279,65070
280,65072
281,65076
282,65091
283,65094
284,65097
285,65098
286,65102
287,65103
288,65105
289,65107
290,65108
291,65109
292,65110
293,65111
294,65112
295,65113
296,65114
297,65115
298,65116
299,65117
300,65118
301,65119
302,65120
303,65121
304,65122
305,65123
306,65174
307,65180
308,65196
309,65203
310,65216
311,65218
312,65219
313,65264
314,65265
315,65266
316,65267
317,65270
318,65271
319,65272
320,65273
321,65275
322,65278
323,65279
324,65280
325,65281
326,65283
327,65285
328,65287
329,65291
330,65295
331,65296
332,65297
333,65311
334,65325
335,65413
336,65415
337,65416
338,65430
339,65433
340,65437
341,65528
342,65529
343,65530
344,65546
345,65547
346,65556
347,65558
348,65559
349,65560
350,65565
351,65567
352,65570
353,65572
354,65573
355,65577
356,65578
357,65580
358,65584
359,65585
360,65678
361,65679
362,65680
363,65681
364,65684
365,65695
366,65699
367,65700
368,65740
369,65768
370,65779
371,65790
372,65792
373,65887
374,65894
375,67416
376,70813
377,70814
378,70815
379,70818
380,70820
381,70821
382,70822
383,70832
384,70833
385,70835
386,70836
387,70838
388,70839
389,70842
390,70843
391,70844
392,70847
393,70848
394,70849
395,70850
396,70851
397,70852
398,70853
399,70863
400,70864
401,70865
402,70866
403,70867
404,70868
405,70869
406,70870
407,70871
408,70872
409,70873
410,70874
411,70875
412,70876
413,70877
414,70878
415,70879
416,70880
417,70881
418,70882
419,70886
420,70887
421,70890
422,70893
423,70894
424,70897
425,70907
426,70908
427,70909
428,70910
429,70911
430,70913
431,70914
432,70915
433,70916
434,70921
435,70971
436,71759
437,71762
438,71764
439,71766
440,71769
441,71776
442,71780
443,71789
444,71793
445,71795
446,71796
447,71799
448,71964
449,71965
450,71966
451,71967
452,71968
453,71969
454,71970
455,71971
456,72014
457,72074
458,72075
459,72076
460,72077
461,72078
462,72079
463,72080
464,72081
465,72083
466,72084
467,72087
468,72088
469,72089
470,72090
471,72102
472,72103
473,72104
474,72106
475,72107
476,72111
477,72112
478,72113
479,72121
480,72122
481,72123
482,72124
483,72125
484,72126
485,72132
486,72133
487,72134
488,72137
489,72138
490,72139
491,72144
492,72145
493,72146
494,72147
495,72148
496,72152
497,72153
498,72154
499,72157
500,72162
501,72165
502,72166
503,72167
504,72168
505,72169
506,72171
507,72172
508,72174
509,72175
510,72177
511,72184
512,72185
513,72186
514,72187
515,72190
516,72191
517,72192
518,72194
519,72195
520,72197
521,72198
522,72199
523,72203
524,72204
525,72205
526,72216
527,72217
528,72220
529,72221
530,72222
531,72223
532,72224
533,72225
534,72226
535,72227
536,72228
537,72229
538,72233
539,72234
540,72235
541,72237
542,72241
543,72242
544,72245
545,72246
546,72248
547,72250
548,72251
549,72252
550,72260
551,72261
552,72263
553,72264
554,72265
555,72266
556,72267
557,72268
558,72270
559,72271
560,72272
561,72275
562,72277
563,72279
564,72283
565,72284
566,72285
567,72286
568,72288
569,72290
570,72291
571,72292
572,72294
573,72295
574,72296
575,72297
576,72298
577,72300
578,72301
579,72302
580,73127
581,73128
582,73130
583,73132
584,73133
585,73134
586,73135
587,73139
588,73141
589,73147
590,73148
591,73152
592,73153
593,73154
594,73157
595,73158
596,73159
597,73160
598,73163
599,73166
600,73168
601,73169
602,73170
603,73171
604,73173
605,73174
606,73176
607,73178
608,73179
609,73180
610,73184
611,73185
612,73186
613,73189
614,73190
615,73191
616,73192
617,73193
618,73194
619,73195
620,73196
621,73199
622,73202
623,73203
624,73205
625,73207
626,73209
627,73211
628,73214
629,73217
630,73219
631,73222
632,73224
633,73229
634,73232
635,73233
636,73234
637,73237
638,73238
639,73242
640,73243
641,73244
642,73248
643,73249
644,73250
645,73254
646,73255
647,73257
648,73258
649,73262
650,73266
651,73268
652,73269
653,73273
654,73274
655,73275
656,73281
657,73282
658,73283
659,73284
660,73285
661,73286
662,73288
663,73292
664,73293
665,73295
666,73298
667,73299
668,73301
669,73307
670,73309
671,73311
672,73313
673,73314
674,73315
675,73316
676,73318
677,73319
678,73320
679,73321
680,73324
681,73325
682,73326
683,73336
684,73337
685,73339
686,73340
687,73341
688,73347
689,73348
690,73349
691,73352
692,73356
693,73360
694,73361
695,73366
696,73367
697,73368
698,73371
699,73372
700,73373
701,73375
702,73376
703,73377
704,73383
705,73385
706,73388
707,73389
708,73390
709,73391
710,73392
711,73400
712,73993
713,73995
714,74025
715,74030
716,74095
717,74098
718,74124
719,74134
720,74179
721,74180
722,74181
723,74199
724,76294
725,76295
726,76296
727,76297
728,76298
729,76299
730,76300
731,76301
732,76306
733,76307
734,76312
735,76313
736,76318
737,76324
738,76328
739,76331
740,76332
741,76334
742,76335
743,76336
744,76337
745,76338
746,76339
747,76343
748,76439
749,76440
750,76441
751,76442
752,76443
753,76444
754,76445
755,76446
756,76447
757,76448
758,76449
759,76450
760,76451
761,76452
762,76455
763,76456
