nf_numero,nf_item,nf_datahora,nf_timestamp,nf_valor_total,emit_nome,emit_cnpj,emit_bairro,emit_municipio,emit_cep,emit_lat,emit_long,prod_desc,prod_ncm,prod_cfop,prod_quant,prod_unid,prod_valor_unit,prod_valor_total,idx
111566,4,2016-02-25 09:11:09,1456391469,281026.83,dimaster com de prod hosp ltda,2520829000140,centro,barao de cotegipe,99740000,-27.6214694,-52.3765316,fluconazol 150mg comprimido g  teuto,30049099,6108,46500.0,cpr,0.2,9300.0,71964
111432,2,2016-02-22 16:37:55,1456159075,192380.0,dimaster com de prod hosp ltda,2520829000140,centro,barao de cotegipe,99740000,-27.6214694,-52.3765316,alendronato de sodio 70mg comprimido  delta,30049099,6108,120000.0,cpr,0.31,37200.0,71971
127948,17,2016-11-28 11:42:05,1480333325,250438.0,dimaster com de prod hosp ltda,2520829000140,centro,barao de cotegipe,99740000,-27.6214694,-52.3765316,sinvastatina 40mg comprimido  multilab,30049099,6108,60000.0,cpr,0.13,7800.0,71970
111566,16,2016-02-25 09:11:09,1456391469,281026.83,dimaster com de prod hosp ltda,2520829000140,centro,barao de cotegipe,99740000,-27.6214694,-52.3765316,levodopa+carbidopa 250/25mg comprimido  teuto,30049099,6108,9000.0,cpr,0.24,2160.0,71966
271656,1,2016-02-15 21:09:44,1455570584,71990.01,biolab sanus farmaceutica ltda,49475833001250,distrito industrial,vinhedo,13280000,-23.0298535,-46.9749847,"norestin 0,35mg com x 35 min   saude",30049099,6923,30897.0,und,2.33,71990.01,76339
117826,18,2016-06-16 10:20:56,1466072456,173515.8,dimaster com de prod hosp ltda,2520829000140,centro,barao de cotegipe,99740000,-27.6214694,-52.3765316,sinvastatina 40mg comprimido  multilab,30049099,6108,150000.0,cpr,0.12,18000.0,71968
198963,1,2016-12-21 00:00:00,1482278400,151140.0,fundacao para o remedio popular - furp,43640754000119,guarulhos,guarulhos,7043902,-23.4675941,-46.5277704,furp-lamiv.+zidov.(150+300)mg comp.rev.(port 344c4/98) frf. c/ 60 comp.,30049099,6923,137400.0,comp,1.1,151140.0,56995
272655,1,2016-04-06 18:29:47,1459967387,71987.68,biolab sanus farmaceutica ltda,49475833001250,distrito industrial,vinhedo,13280000,-23.0298535,-46.9749847,"norestin 0,35mg com x 35 min   saude",30049099,6923,30896.0,und,2.33,71987.68,76336
111566,5,2016-02-25 09:11:09,1456391469,281026.83,dimaster com de prod hosp ltda,2520829000140,centro,barao de cotegipe,99740000,-27.6214694,-52.3765316,fluconazol 150mg comprimido g  teuto,30049099,6108,3500.0,cpr,0.2,700.0,71965
175622,1,2016-03-29 00:00:00,1459209600,40800.0,fundacao para o remedio popular - furp,43640754000119,guarulhos,guarulhos,7043902,-23.4675941,-46.5277704,furp-sulfato ferroso 25 mg fe++/ml  gotas  (m. saude),30049099,6923,30000.0,fr,1.36,40800.0,56993
175555,1,2016-03-28 00:00:00,1459123200,27200.0,fundacao para o remedio popular - furp,43640754000119,guarulhos,guarulhos,7043902,-23.4675941,-46.5277704,furp-sulfato ferroso 25 mg fe++/ml  gotas  (m. saude),30049099,6923,20000.0,fr,1.36,27200.0,56992
45108,2,2016-03-09 00:00:00,1457481600,52000.0,aglon comercio e representacoes ltda,65817900000171,grossklauss,leme,13617400,-22.1859721,-47.389764,acido valproico 250 mg (c1),30049099,6108,125000.0,cps,0.18,22500.0,76440
52717,4,2016-12-14 01:00:00,1481677200,47640.0,aglon comercio e representacoes ltda,65817900000171,grossklauss,leme,13617400,-22.1859721,-47.389764,acido valproico 250 mg (c1),30049099,6108,47000.0,cps,0.17,7990.0,76447
45108,1,2016-03-09 00:00:00,1457481600,52000.0,aglon comercio e representacoes ltda,65817900000171,grossklauss,leme,13617400,-22.1859721,-47.389764,acido valproico 500 mg (c1),30049099,6108,50000.0,cpr,0.59,29500.0,76439
52717,1,2016-12-14 01:00:00,1481677200,47640.0,aglon comercio e representacoes ltda,65817900000171,grossklauss,leme,13617400,-22.1859721,-47.389764,acido valproico 500 mg (c1),30049099,6108,43050.0,cpr,0.61,26260.5,76444
50557,2,2016-02-16 09:51:52,1455616312,393327.0,farmanguinhos - fundacao oswaldo cr,33781055004980,jacarepagua,rio de janeiro,22775610,-22.9110137,-43.2093727,nevirapina 200mg fr c/60 cp ms,30049099,6949,23700.0,cp,0.66,15642.0,46587
26,10,2016-10-19 07:44:00,1476863040,38246.5,guimaraes e guimaraes ltda,9553687000167,centro,soledade,58155000,-28.8272467,-52.5109157,metildopa 250mg cp,30049099,5403,4000.0,und,0.25,1000.0,62325
27,4,2016-11-30 17:52:00,1480528320,30670.0,guimaraes e guimaraes ltda,9553687000167,centro,soledade,58155000,-28.8272467,-52.5109157,metildopa 500mg cp,30049099,5403,2000.0,cp,1.03,2060.0,62291
63468,1,2016-09-16 10:30:14,1474021814,16000.0,solumed distr. med prod saude ltda,11896538000142,bortolan,pocos de caldas,37704720,-21.7900318,-46.5647928,"agua para injecao 10ml  l: 1630328 q:   50.000,0000 f: 28/02/16 v: 28/02/18 l: 1630485 q:   50.000,0000 f: 31/03/16 v: 3",30049099,6108,100000.0,ap,0.16,16000.0,73222
48147,6,2016-01-29 19:45:51,1454096751,3152.05,solumed distr. med prod saude ltda,11896538000142,sao joao batist,santa luzia,33030020,-19.7702097,-43.8505291,"losartana potassica 50mg  l: 15k693 q:   17.400,0000 f: 01/09/15 v: 30/11/17",30049099,6108,17400.0,cp,0.05,870.0,62184
62058,1,2016-08-29 12:44:44,1472474684,21566.0,solumed distr. med prod saude ltda,11896538000142,bortolan,pocos de caldas,37704720,-21.7900318,-46.5647928,"agua para injecao 10ml  l: 1630485 q:   50.000,0000 f: 31/03/16 v: 31/03/18 l: 1630328 q:   50.000,0000 f: 28/02/16 v: 2",30049099,2202,100000.0,ap,0.16,16000.0,73375
117826,19,2016-06-16 10:20:56,1466072456,173515.8,dimaster com de prod hosp ltda,2520829000140,centro,barao de cotegipe,99740000,-27.6214694,-52.3765316,dexametasona creme 1mg/gr 10gr g  teuto,30049099,6108,6000.0,tb,0.7,4200.0,71969
26,11,2016-10-19 07:44:00,1476863040,38246.5,guimaraes e guimaraes ltda,9553687000167,centro,soledade,58155000,-28.8272467,-52.5109157,metildopa 500mg cp,30049099,5403,2000.0,und,1.03,2060.0,62326
443023,1,2016-08-29 17:26:54,1472491614,1722.0,"prati,donaduzzi e cia ltda",73856593000166,c ind nilton arruda,toledo,85903630,-22.7433969,-46.3735044,- simeticona 40mg 30x20 cps-vp / gen dimeticona,30049099,6107,24600.0,cp,0.07,1722.0,76298
49857,6,2016-03-02 14:43:46,1456929826,3152.05,solumed distr. med prod saude ltda,11896538000142,sao joao batist,santa luzia,33030020,-19.7702097,-43.8505291,"losartana potassica 50mg  l: 15k693 q:   17.400,0000 f: 01/09/15 v: 30/11/17",30049099,6108,17400.0,cp,0.05,870.0,62215
49842,7,2016-03-02 10:13:23,1456913603,9183.25,solumed distr. med prod saude ltda,11896538000142,sao joao batist,santa luzia,33030020,-19.7702097,-43.8505291,"losartana potassica 50mg  l: 15k693 q:   17.400,0000 f: 01/09/15 v: 30/11/17",30049099,2202,17400.0,cp,0.05,870.0,62170
247487,1,2016-12-29 13:10:10,1483017010,121770.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 500 ml(1477cx)",30049099,6107,44280.0,und,2.75,121770.0,72083
25,3,2016-10-19 07:35:00,1476862500,20891.6,gisalma gabriel inocencio,11566679000105,centro,soledade,58155000,-28.8272467,-52.5109157,memantina 10mg cp,30049099,5403,900.0,und,3.59,3231.0,62314
48683,1,2016-07-21 00:00:00,1469059200,55600.0,aglon comercio e representacoes ltda,65817900000171,grossklauss,leme,13617400,-22.1859721,-47.389764,acido valproico 500 mg (c1),30049099,6108,80000.0,cpr,0.61,48800.0,76441
48687,1,2016-07-21 00:00:00,1469059200,55600.0,aglon comercio e representacoes ltda,65817900000171,grossklauss,leme,13617400,-22.1859721,-47.389764,acido valproico 500 mg (c1),30049099,6108,80000.0,cpr,0.61,48800.0,76448
63077,6,2016-09-12 12:23:54,1473683034,3347.5,solumed distr. med prod saude ltda,11896538000142,bortolan,pocos de caldas,37704720,-21.7900318,-46.5647928,"losartana potassica 50mg (item generico) l: 16h13a q:   27.380,0000 f: 31/08/16 v: 31/08/18",30049099,6108,27380.0,cp,0.05,1369.0,73286
25,3,2016-08-31 14:10:00,1472652600,52088.0,guimaraes e guimaraes ltda,9553687000167,centro,soledade,58155000,-28.8272467,-52.5109157,butil+escp+dipirona cp,30049099,5403,3000.0,und,0.49,1470.0,62307
51228,3,2016-07-14 09:33:44,1468488824,195247.23,farmanguinhos - fundacao oswaldo cr,33781055004980,jacarepagua,rio de janeiro,22775610,-22.9110137,-43.2093727,"pramipexol 1,000mg cx c/30 cp",30049099,6949,60270.0,cp,2.11,127109.43,46598
59631,1,2016-07-26 09:03:40,1469523820,21566.0,solumed distr. med prod saude ltda,11896538000142,bortolan,pocos de caldas,37704720,-21.7900318,-46.5647928,"agua para injecao 10ml  l: 1630485 q:   50.000,0000 f: 31/03/16 v: 31/03/18 l: 1630328 q:   50.000,0000 f: 28/02/16 v: 2",30049099,6108,100000.0,ap,0.16,16000.0,73281
28,1,2016-12-27 15:55:00,1482854100,15508.0,guimaraes e guimaraes ltda,9553687000167,centro,soledade,58155000,-28.8272467,-52.5109157,acebrofilina xarope,30049099,5403,500.0,fr,11.89,5945.0,62298
47829,8,2016-01-22 07:16:20,1453446980,5351.2,solumed distr. med prod saude ltda,11896538000142,sao joao batist,santa luzia,33030020,-19.7702097,-43.8505291,"losartana potassica 50mg  l: 15d011 q:   12.600,0000 f: 01/04/15 v: 30/04/17",30049099,6108,12600.0,cp,0.05,630.0,62153
239238,1,2016-09-23 15:10:17,1474643417,68695.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 500 ml(833cx)",30049099,2201,24980.0,und,2.75,68695.0,72081
239236,1,2016-09-23 15:06:13,1474643173,68805.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 500 ml(834cx)",30049099,2201,25020.0,und,2.75,68805.0,72242
239245,1,2016-09-23 15:27:14,1474644434,68695.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 500 ml(833cx)",30049099,6107,24980.0,und,2.75,68695.0,72199
239243,1,2016-09-23 15:26:12,1474644372,68805.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 500 ml(834cx)",30049099,6107,25020.0,und,2.75,68805.0,72167
50649,2,2016-03-21 08:49:45,1458550185,401994.6,farmanguinhos - fundacao oswaldo cr,33781055004980,jacarepagua,rio de janeiro,22775610,-22.9110137,-43.2093727,mesilato de imatinibe 400mg 3 blx10 cpr,30049099,6949,5940.0,cpr,63.21,375467.4,46590
47829,17,2016-01-22 07:16:20,1453446980,5351.2,solumed distr. med prod saude ltda,11896538000142,sao joao batist,santa luzia,33030020,-19.7702097,-43.8505291,"omeprazol 20mg  l: 218104 q:    4.060,0000 f: 01/05/15 v: 31/05/17 l: 218137 q:    9.240,0000 f: 01/08/15 v: 31/08/17",30049099,6108,13300.0,caixa,0.04,532.0,62154
59997,2,2016-07-30 15:16:56,1469891816,24293.0,solumed distr. med prod saude ltda,11896538000142,bortolan,pocos de caldas,37704720,-21.7900318,-46.5647928,"agua para injecao 10ml  l: 1630486 q:   50.000,0000 f: 31/03/16 v: 31/03/18",30049099,6108,50000.0,ap,0.16,8000.0,73372
48687,3,2016-07-21 00:00:00,1469059200,55600.0,aglon comercio e representacoes ltda,65817900000171,grossklauss,leme,13617400,-22.1859721,-47.389764,acido valproico 250 mg (c1),30049099,6108,23200.0,cps,0.17,3944.0,76450
48683,3,2016-07-21 00:00:00,1469059200,55600.0,aglon comercio e representacoes ltda,65817900000171,grossklauss,leme,13617400,-22.1859721,-47.389764,acido valproico 250 mg (c1),30049099,6108,23200.0,cps,0.17,3944.0,76443
236980,1,2016-08-26 16:06:18,1472227578,54945.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 500 ml(666cx)",30049099,6107,19980.0,und,2.75,54945.0,72080
236977,1,2016-08-26 15:59:21,1472227161,54945.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 500 ml(666cx)",30049099,6107,19980.0,und,2.75,54945.0,72241
236942,2,2016-08-26 10:31:28,1472207488,269000.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 500 ml(2000cx)",30049099,6107,20010.0,und,2.75,55027.5,72221
236998,1,2016-08-26 17:02:20,1472230940,55110.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 500 ml(668cx)",30049099,6107,20040.0,und,2.75,55110.0,72123
236942,3,2016-08-26 10:31:28,1472207488,269000.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 500 ml(2000cx)",30049099,6107,20010.0,und,2.75,55027.5,72222
236942,4,2016-08-26 10:31:28,1472207488,269000.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 500 ml(2000cx)",30049099,6107,19980.0,und,2.75,54945.0,72223
