nf_numero,nf_item,nf_datahora,nf_timestamp,nf_valor_total,emit_nome,emit_cnpj,emit_bairro,emit_municipio,emit_cep,emit_lat,emit_long,prod_desc,prod_ncm,prod_cfop,prod_quant,prod_unid,prod_valor_unit,prod_valor_total,idx
239474,1,2016-09-27 13:50:15,1474984215,3000.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 250 ml(30cx)",30049099,6107,1500.0,und,2.0,3000.0,72194
386681,1,2016-02-24 00:00:00,1456272000,18171.36,glaxosmithkline brasil ltda,33247743003569,curicica,rio de janeiro,22780083,-22.9110137,-43.2093727,volibris 5 mg x 30 tablets,30049099,6108,24.0,und,1576.71,37841.04,46601
244370,1,2016-11-28 09:18:10,1480324690,3825.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 500 ml(50cx)",30049099,6107,1500.0,und,2.55,3825.0,72203
244371,1,2016-11-28 09:18:10,1480324690,3825.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 500 ml(50cx)",30049099,6107,1500.0,und,2.55,3825.0,72204
244362,1,2016-11-28 09:18:10,1480324690,3945.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,ringer c/lactato sf 500 ml(50cx),30049099,6107,1500.0,und,2.63,3945.0,72087
244037,1,2016-11-23 09:43:19,1479894199,4600.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 250 ml(46cx)",30049099,6107,2300.0,und,2.0,4600.0,72216
111268,1,2016-12-05 14:46:00,1480949160,8723.0,industria farmaceutica rioquimica ltda,55643555000305,vila maceno,s.j. rio preto,15060035,-20.7721899,-49.3607544,riogel ant. 740g refil/ cartucho cx c/ 06 unid,30049099,6101,714.0,und,6.71,4790.94,76451
111268,2,2016-12-05 14:46:00,1480949160,8723.0,industria farmaceutica rioquimica ltda,55643555000305,vila maceno,s.j. rio preto,15060035,-20.7721899,-49.3607544,riogel ant. 740g refil/ cartucho cx c/ 06 unid,30049099,6101,582.0,und,6.71,3905.22,76452
244359,1,2016-11-28 09:18:10,1480324690,3945.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,ringer c/lactato sf 500 ml(50cx),30049099,6107,1500.0,und,2.63,3945.0,72233
244372,1,2016-11-28 09:18:10,1480324690,3825.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,"cloreto de sodio 0,9% sf 500 ml(50cx)",30049099,6107,1500.0,und,2.55,3825.0,72234
