nf_numero,nf_item,nf_datahora,nf_timestamp,nf_valor_total,emit_nome,emit_cnpj,emit_bairro,emit_municipio,emit_cep,emit_lat,emit_long,prod_desc,prod_ncm,prod_cfop,prod_quant,prod_unid,prod_valor_unit,prod_valor_total,idx
245756,1,2016-12-08 16:49:38,1481215778,13920.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,levofloxacino 5mgml (generico) 100ml(40cx),30049099,6107,2400.0,und,5.8,13920.0,72126
245753,1,2016-12-08 16:49:38,1481215778,11600.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,levofloxacino 5mgml (generico) 100ml(34cx),30049099,6107,2000.0,und,5.8,11600.0,72187
10199,4,2016-08-17 00:00:00,1471392000,2416.76,vida distribuidora do nordeste ltda,20812326000120,renascer,cabedelo,58108086,-6.97324,-34.8351609,l-enema 130ml natulab (xxx d),30049099,5403,3.0,und,11.5,34.5,49364
6431,6,2016-07-25 14:12:00,1469455920,815.89,rdf - distribuidora de produtos para saude ltda,12305387000254,renascer,cabedelo,58108086,-6.97324,-34.8351609,vaselina solida 60gr (.),30049099,5405,3.0,und,8.17,24.51,49143
115,18,2016-09-14 11:47:13,1473853633,3948.25,joao toscano de brito,41225780000155,centro,lucena,5831500,-6.8984018,-34.8711915,bronquitoss(terb+guaif)xpe c/120ml,30049099,5405,4.0,und,10.0,40.0,68373
160,4,2016-09-12 00:00:00,1473638400,521.13,janeide a. de lima melo,3405630000134,centro,mamanguape,58280000,-6.833698,-35.121316,cloridrato de amitriptilina 25mg cx30,30049099,5403,3.0,und,10.0,30.0,57308
247536,1,2016-12-29 16:42:03,1483029723,2090.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,glicose 5% sf 250 ml(20cx),30049099,6107,1000.0,und,2.09,2090.0,72176
245752,1,2016-12-08 16:49:38,1481215778,5800.0,halex istar ind farmaceutica s.a.,1571702000198,chacara retiro,goiania,74775027,-16.680882,-49.2532691,levofloxacino 5mgml (generico) 100ml(17cx),30049099,6107,1000.0,und,5.8,5800.0,72148
220,30,2016-11-19 00:00:00,1479513600,8466.19,r r comercio de medicamentos ltda,6007901000191,centro,queimadas,58475000,-10.9807081,-39.6249588,domperidona 10mg 30cp,30049099,5403,2.0,und,15.24,30.48,42886
180,41,2016-09-13 00:00:00,1473724800,21996.64,r r comercio de medicamentos ltda,6007901000191,centro,queimadas,58475000,-10.9807081,-39.6249588,prednisolona 20mg 10cp germed,30049099,5929,1.0,und,15.18,15.18,43440
524,7,2016-06-27 00:00:00,1466985600,1975.64,francileuda batista de almeida,6012274000187,centro,cajazeiras,58900000,-6.8897849,-38.5570389,luvas de procedimento - m,30049099,5403,1.0,und,25.0,25.0,1495
