nf_numero,nf_item,nf_datahora,nf_timestamp,nf_valor_total,emit_nome,emit_cnpj,emit_bairro,emit_municipio,emit_cep,emit_lat,emit_long,prod_desc,prod_ncm,prod_cfop,prod_quant,prod_unid,prod_valor_unit,prod_valor_total,idx
51653,1,2016-10-04 10:25:43,1475576743,1050.0,farmanguinhos - fundacao oswaldo cr,33781055004980,jacarepagua,rio de janeiro,22775610,-22.9110137,-43.2093727,ribavirina 250mg ct c/500 cap,30049099,6949,7500.0,capsula,0.14,1050.0,46592
51679,1,2016-10-06 16:37:57,1475771877,7524.0,farmanguinhos - fundacao oswaldo cr,33781055004980,jacarepagua,rio de janeiro,22775610,-22.9110137,-43.2093727,nevirapina 200mg fr c/60 cp ms,30049099,6949,11400.0,cp,0.66,7524.0,46593
52121,1,2016-12-14 14:25:55,1481725555,630.0,farmanguinhos - fundacao oswaldo cr,33781055004980,jacarepagua,rio de janeiro,22775610,-22.9110137,-43.2093727,ribavirina 250mg ct c/500 cap,30049099,6949,4500.0,capsula,0.14,630.0,46594
67533,1,2016-11-01 13:09:09,1478005749,4726.0,solumed distr. med prod saude ltda,11896538000142,bortolan,pocos de caldas,37704720,-21.7900318,-46.5647928,"clindamicina 600mg,fosfato  l: 16070478 q:    1.000,0000 f: 31/08/16 v: 31/07/18",30049099,2202,1000.0,ap,3.69,3690.0,73219
51228,1,2016-07-14 09:33:44,1468488824,195247.23,farmanguinhos - fundacao oswaldo cr,33781055004980,jacarepagua,rio de janeiro,22775610,-22.9110137,-43.2093727,"pramipexol 0,125mg cx c/30 cp",30049099,6949,16440.0,cp,0.3,4997.76,46596
51228,2,2016-07-14 09:33:44,1468488824,195247.23,farmanguinhos - fundacao oswaldo cr,33781055004980,jacarepagua,rio de janeiro,22775610,-22.9110137,-43.2093727,"pramipexol 0,250mg cx c/30 cp",30049099,6949,92310.0,cp,0.68,63140.04,46597
63468,1,2016-09-16 10:30:14,1474021814,16000.0,solumed distr. med prod saude ltda,11896538000142,bortolan,pocos de caldas,37704720,-21.7900318,-46.5647928,"agua para injecao 10ml  l: 1630328 q:   50.000,0000 f: 28/02/16 v: 28/02/18 l: 1630485 q:   50.000,0000 f: 31/03/16 v: 3",30049099,6108,100000.0,ap,0.16,16000.0,73222
51228,3,2016-07-14 09:33:44,1468488824,195247.23,farmanguinhos - fundacao oswaldo cr,33781055004980,jacarepagua,rio de janeiro,22775610,-22.9110137,-43.2093727,"pramipexol 1,000mg cx c/30 cp",30049099,6949,60270.0,cp,2.11,127109.43,46598
52161,1,2016-12-20 09:53:59,1482227639,5940.0,farmanguinhos - fundacao oswaldo cr,33781055004980,jacarepagua,rio de janeiro,22775610,-22.9110137,-43.2093727,nevirapina 200mg fr c/60 cp ms,30049099,6949,9000.0,cp,0.66,5940.0,46600
51752,1,2016-10-14 16:27:42,1476462462,1400.0,farmanguinhos - fundacao oswaldo cr,33781055004980,jacarepagua,rio de janeiro,22775610,-22.9110137,-43.2093727,ribavirina 250mg ct c/500 cap,30049099,6949,10000.0,capsula,0.14,1400.0,46599
50944,1,2016-05-18 11:04:11,1463569451,910.0,farmanguinhos - fundacao oswaldo cr,33781055004980,jacarepagua,rio de janeiro,22775610,-22.9110137,-43.2093727,ribavirina 250mg ct c/500 cap,30049099,6949,6500.0,capsula,0.14,910.0,46602
443325,3,2016-08-30 15:55:25,1472572525,766.0,"prati,donaduzzi e cia ltda",73856593000166,c ind nilton arruda,toledo,85903630,-22.7433969,-46.3735044,- simeticona 40mg 30x20 cps-vp / gen dimeticona,30049099,6107,1800.0,cp,0.07,126.0,76296
443025,1,2016-08-29 17:27:21,1472491641,336.0,"prati,donaduzzi e cia ltda",73856593000166,c ind nilton arruda,toledo,85903630,-22.7433969,-46.3735044,- simeticona 40mg 30x20 cps-vp / gen dimeticona,30049099,6107,4800.0,cp,0.07,336.0,76300
50966,2,2016-05-25 09:55:45,1464170145,10516.5,farmanguinhos - fundacao oswaldo cr,33781055004980,jacarepagua,rio de janeiro,22775610,-22.9110137,-43.2093727,"pramipexol 0,250mg cx c/30 cp",30049099,6949,4110.0,cp,0.68,2811.24,46604
51863,1,2016-10-25 09:12:07,1477386727,175716.0,farmanguinhos - fundacao oswaldo cr,33781055004980,jacarepagua,rio de janeiro,22775610,-22.9110137,-43.2093727,nevirapina 200mg fr c/60 cp ms,30049099,6949,5100.0,cp,0.66,3366.0,46606
50966,3,2016-05-25 09:55:45,1464170145,10516.5,farmanguinhos - fundacao oswaldo cr,33781055004980,jacarepagua,rio de janeiro,22775610,-22.9110137,-43.2093727,"pramipexol 1,000mg cx c/30 cp",30049099,6949,3420.0,cp,2.11,7212.78,46605
443326,3,2016-08-30 15:55:45,1472572545,766.0,"prati,donaduzzi e cia ltda",73856593000166,c ind nilton arruda,toledo,85903630,-22.7433969,-46.3735044,- simeticona 40mg 30x20 cps-vp / gen dimeticona,30049099,6107,1800.0,cp,0.07,126.0,76297
443024,3,2016-08-29 17:27:08,1472491628,190.0,"prati,donaduzzi e cia ltda",73856593000166,c ind nilton arruda,toledo,85903630,-22.7433969,-46.3735044,- simeticona 40mg 30x20 cps-vp / gen dimeticona,30049099,6107,1800.0,cp,0.07,126.0,76299
386681,1,2016-02-24 00:00:00,1456272000,18171.36,glaxosmithkline brasil ltda,33247743003569,curicica,rio de janeiro,22780083,-22.9110137,-43.2093727,volibris 5 mg x 30 tablets,30049099,6108,24.0,und,1576.71,37841.04,46601
50966,1,2016-05-25 09:55:45,1464170145,10516.5,farmanguinhos - fundacao oswaldo cr,33781055004980,jacarepagua,rio de janeiro,22775610,-22.9110137,-43.2093727,"pramipexol 0,125mg cx c/30 cp",30049099,6949,1620.0,cp,0.3,492.48,46603
60810,2,2016-08-12 09:19:56,1470993596,33082.0,solumed distr. med prod saude ltda,11896538000142,bortolan,pocos de caldas,37704720,-21.7900318,-46.5647928,"midazolam 50mg (item generico) l: ap-085/16 q:   17.300,0000 f: 30/06/16 v: 31/05/18 *** portaria 344/98 b1",30049099,6108,17300.0,ap,1.89,32697.0,73248
