nf_numero,nf_item,nf_datahora,nf_timestamp,nf_valor_total,emit_nome,emit_cnpj,emit_bairro,emit_municipio,emit_cep,emit_lat,emit_long,prod_desc,prod_ncm,prod_cfop,prod_quant,prod_unid,prod_valor_unit,prod_valor_total,idx
7285,1,2016-11-16 16:00:00,1479312000,313785.9,d-hosp distribuidora hospitalar importacao e exportacao ltda,8076127000872,loteamento vila rosa,aparecida de goiania,74935851,-16.8226769,-49.2452546,"revatio 20mg 90 cp principio ativo: sildenafila citrato marca: pfizer lote: 50483519a - 31/12/2017 pmc: 3.037,56",30049099,6108,333.0,cx,1070.8,356574.89,70971
50649,2,2016-03-21 08:49:45,1458550185,401994.6,farmanguinhos - fundacao oswaldo cr,33781055004980,jacarepagua,rio de janeiro,22775610,-22.9110137,-43.2093727,mesilato de imatinibe 400mg 3 blx10 cpr,30049099,6949,5940.0,cpr,63.21,375467.4,46590
1,15,2016-12-12 10:08:00,1481537280,7771.22,alves lima e cia ltda. me,7314288000118,centro,mato grosso,58832000,-12.2115009,-55.5716547,novoprazol 20 mg c/ 56 comp,30049099,5403,100.0,und,18.0,1800.0,57460
219,77,2016-11-18 00:00:00,1479427200,57499.96,r r comercio de medicamentos ltda,6007901000191,centro,queimadas,58475000,-10.9807081,-39.6249588,paracen 750mg 4cp,30049099,5403,298.0,und,2.09,622.82,42872
120302,2,2016-07-08 14:38:00,1467988680,526554.04,hospfar ind e com de prod hosp sa,26921908000202,guara,brasilia,71200030,-10.3333333,-53.2,"+ * pristiq 50mg cx/28cpr - (desvenlafaxina, succinato) - wyeth",30049099,6108,1176.0,cp,2.87,3375.12,63269
186386,1,2016-07-21 11:29:32,1469100572,30048.0,recmed com. de mat. hosp - eireli - me,6696359000121,jardim europa,goiania,74325060,-16.680882,-49.2532691,hepamax-s 5.000ui/ml 25fr-amp 5ml iv eh pvc (heparina),30049099,6108,112.0,cx,222.0,24864.0,72162
386681,1,2016-02-24 00:00:00,1456272000,18171.36,glaxosmithkline brasil ltda,33247743003569,curicica,rio de janeiro,22780083,-22.9110137,-43.2093727,volibris 5 mg x 30 tablets,30049099,6108,24.0,und,1576.71,37841.04,46601
82303,1,2016-09-23 16:01:00,1474646460,136080.0,elfa medicamentos ltda,9053134000145,aguas claras,brasilia,71991360,-10.3333333,-53.2,clexane safety lock 60mg 2 seringas lote: 6s572 val: 31/01/18 marca:sanofi-aventis farma,30049099,6108,3500.0,cx,38.88,136080.0,63279
89,399,2016-04-28 00:00:00,1461801600,28935.04,r r comercio de medicamentos ltda,6007901000191,centro,queimadas,58475000,-10.9807081,-39.6249588,dorona gts 10ml med,30049099,5405,150.0,und,1.5,225.0,43037
26,10,2016-10-19 07:44:00,1476863040,38246.5,guimaraes e guimaraes ltda,9553687000167,centro,soledade,58155000,-28.8272467,-52.5109157,metildopa 250mg cp,30049099,5403,4000.0,und,0.25,1000.0,62325
20,2,2016-01-26 11:30:00,1453807800,25657.0,gisalma gabriel inocencio,11566679000105,centro,soledade,58155000,-28.8272467,-52.5109157,nitazoxanida cp,30049099,5403,100.0,cx,49.0,4900.0,62293
20,3,2016-01-26 11:30:00,1453807800,25657.0,gisalma gabriel inocencio,11566679000105,centro,soledade,58155000,-28.8272467,-52.5109157,letaciclodestrina cp,30049099,5403,100.0,cx,48.98,4898.0,62294
73770,2,2016-02-10 14:21:00,1455114060,23761.08,elfa medicamentos ltda,9053134000145,aguas claras,brasilia,71991360,-10.3333333,-53.2,vytorin 10/20mg cx c/28 cpr lote: l036712 val: 30/06/17 marca:msd,30049099,6108,10.0,cx,61.04,610.4,63305
20,1,2016-01-26 11:30:00,1453807800,25657.0,gisalma gabriel inocencio,11566679000105,centro,soledade,58155000,-28.8272467,-52.5109157,nitazoxanida 100ml,30049099,5403,100.0,fr,44.0,4400.0,62292
28,4,2016-12-27 15:55:00,1482854100,15508.0,guimaraes e guimaraes ltda,9553687000167,centro,soledade,58155000,-28.8272467,-52.5109157,policresuleno+cinchoc supositorio,30049099,5403,100.0,tb,46.87,4687.0,62300
20,5,2016-01-26 11:30:00,1453807800,25657.0,gisalma gabriel inocencio,11566679000105,centro,soledade,58155000,-28.8272467,-52.5109157,isoxsuprina cp,30049099,5403,100.0,cx,42.0,4200.0,62295
54233,1,2016-05-10 14:21:46,1462890106,50000.0,solumed distr. med prod saude ltda,11896538000142,sao joao batist,santa luzia,33030020,-19.7702097,-43.8505291,"diosmina 450mg, hesperidina 50mg  l: b15k2016 q:   49.700,0000 f: 01/10/15 v: 31/10/18 l: b15k0780 q:  150.300,0000 f: 0",30049099,6108,200000.0,cp,0.25,50000.0,62178
22,4,2016-01-26 15:17:00,1453821420,16536.5,guimaraes e guimaraes ltda,9553687000167,centro,soledade,58155000,-28.8272467,-52.5109157,glimepirida+met4/1000mg,30049099,5403,100.0,cx,38.98,3898.0,62302
162506,1,2016-05-09 15:31:00,1462807860,543120.0,majela hospitalar ltda ce privado,2483928000108,vila uniao,fortaleza,60410800,-3.7304512,-38.5217989,zytiga 250 mg cx 120 cp or,30049099,6102,73.0,und,7440.0,543120.0,46906
162510,1,2016-05-09 15:53:00,1462809180,543120.0,majela hospitalar ltda ce privado,2483928000108,vila uniao,fortaleza,60410800,-3.7304512,-38.5217989,zytiga 250 mg cx 120 cp or,30049099,6102,73.0,und,7440.0,543120.0,47068
75338,1,2016-03-16 17:56:00,1458150960,2814.4,elfa medicamentos ltda,9053134000145,aguas claras,brasilia,71991360,-10.3333333,-53.2,clexane safety lock 20mg 10 seringas lote: 5sm13 val: 31/07/17 marca:sanofi-aventis,30049099,6108,5.0,cx,70.4,352.0,63333
12400,36,2016-03-01 14:16:55,1456841815,75547.5,drogaria drogavista ltda,958548000220,centro,campina grande,58400090,-7.2246743,-35.8771292,dimeticona 40mg c/600cp prati hosp,30049099,5403,2000.0,und,308.46,616920.0,19564
25,3,2016-08-31 14:10:00,1472652600,52088.0,guimaraes e guimaraes ltda,9553687000167,centro,soledade,58155000,-28.8272467,-52.5109157,butil+escp+dipirona cp,30049099,5403,3000.0,und,0.49,1470.0,62307
22,3,2016-01-26 15:17:00,1453821420,16536.5,guimaraes e guimaraes ltda,9553687000167,centro,soledade,58155000,-28.8272467,-52.5109157,ferromaltose mastigavel cp,30049099,5403,100.0,cx,34.9,3490.0,62301
3812,1,2016-02-22 14:49:47,1456152587,235.0,msr express medicamentos especiais ltda - epp,14842681000140,lagoinha,belo horizonte,31110280,-19.9225776,-43.9451356,bicalutamida 50mg cx 28 comp rev - accord,30049099,6102,1.0,und,235.0,235.0,40621
4038,1,2016-04-22 09:12:53,1461316373,235.0,msr express medicamentos especiais ltda - epp,14842681000140,lagoinha,belo horizonte,31110280,-19.9225776,-43.9451356,bicalutamida 50mg cx 28 comp rev - accord,30049099,6102,1.0,und,235.0,235.0,40626
4039,1,2016-04-22 09:18:36,1461316716,235.0,msr express medicamentos especiais ltda - epp,14842681000140,lagoinha,belo horizonte,31110280,-19.9225776,-43.9451356,bicalutamida 50mg cx 28 comp rev - accord,30049099,6108,1.0,und,235.0,235.0,40615
41747,1,2016-05-06 16:48:00,1462553280,3780.0,multifarma comercial ltda,21681325000157,parque norte,vespasiano,33200000,-19.6940958,-43.9186521,levofloxacino generico 5mg/ml cx c/60 bolsa 100ml,30049099,6949,9.0,cx,420.0,3780.0,76340
